Investor,Company,Sector,CEO/Director,Founded Year,Year invested,Invested After Years,Fund INR,USD M,Stake,Pvt,Valued at,Public,Duratin,Current valuavtion
Tata,Ola,Tech-EV,Bhavish Aggrwal,2010,2015,5,"95,00,000",0.11,,2010,$5B,2023,13,$1.9B
Tata,Paytm,FIntech,Vijay Shekhar Sharma,2010,2015,5,"1,00,00,000",0.12,,2010,$20B,2021,11,$3.11B
Tata,Snapdeal,Tech,Himanshu Chakrawarti,2010,2014,4,"5,00,00,,000",6.67,,2010,$1B,Cancelled2022,,$46.8M
Tata,Lenskart,Tech,Peyush Bansal,2010,2016,6,"4,00,00,00,000",48.27,,2010,,,,$4.5B
Tata,Zivame,Fashion,Amisha Jain,2011,2015,4,,,,2011,,,,$200M
Tata,Urban company ,Business,Abhiraj singh Bansal,2014,2015,1,,,,2014,Aquired By RIL 96% at 182 cr in 2020,,,
Ambani,Dunzo,Tech,Siddhart Talwar,2014,2022,8,"14,90,00,00,000",178.9,25.8,,,,,$744M
Ambani,Netmeds,Pharma,Priya John,2010,2020,10,"6,20,00,00,000",74.82,60,,,,,Aquired
Ambani,Asteria Aerospace,Aerospace,Dhireandra Harilal Shah,2011,2019,8,"23,12,00,000",2.79,51.78,,,,,Aquired
Ambani,Urban Ladder,Business,Abhiraj Singh Bansal,2014,2020,6,"1,82,00,00,000",21.9,96,,,,,Aquired
Ambani,Fynd,Tech,Vidushi kamani,2012,2019,7,"2,90,25,00,000",35,87.6,,,,,Aquired
